"Date","Open","High","Low","Close"
"Thu Jun 01 2006 00:00:00 GMT+0530 (India Standard Time)","3072.55","3134.15","2595.65","3128.20"
"Mon Jul 03 2006 00:00:00 GMT+0530 (India Standard Time)","3128.75","3208.85","2878.25","3143.20"
"Tue Aug 01 2006 00:00:00 GMT+0530 (India Standard Time)","3128.20","3452.30","3113.60","3413.90"
"Fri Sep 01 2006 00:00:00 GMT+0530 (India Standard Time)","3414.00","3603.70","3328.45","3588.40"
"Mon Oct 02 2006 00:00:00 GMT+0530 (India Standard Time)","3588.95","3782.85","3508.65","3744.10"
"Wed Nov 01 2006 00:00:00 GMT+0530 (India Standard Time)","3744.10","3976.80","3737.00","3954.50"
"Fri Dec 01 2006 00:00:00 GMT+0530 (India Standard Time)","3955.70","4046.85","3657.65","3966.40"
"Mon Jan 01 2007 00:00:00 GMT+0530 (India Standard Time)","3966.25","4167.14","3833.60","4082.70"
"Thu Feb 01 2007 00:00:00 GMT+0530 (India Standard Time)","4083.40","4245.30","3674.85","3745.30"
"Thu Mar 01 2007 00:00:00 GMT+0530 (India Standard Time)","3745.40","3901.75","3554.50","3821.55"
"Mon Apr 02 2007 00:00:00 GMT+0530 (India Standard Time)","3820.00","4217.89","3617.00","4087.90"
"Tue May 01 2007 00:00:00 GMT+0530 (India Standard Time)","4089.45","4306.75","3981.15","4295.80"
"Fri Jun 01 2007 00:00:00 GMT+0530 (India Standard Time)","4296.05","4362.95","4100.80","4318.30"
"Mon Jul 02 2007 00:00:00 GMT+0530 (India Standard Time)","4318.39","4647.95","4304.00","4528.85"
"Wed Aug 01 2007 00:00:00 GMT+0530 (India Standard Time)","4528.85","4532.89","4002.20","4464.00"
"Mon Sep 03 2007 00:00:00 GMT+0530 (India Standard Time)","4466.64","5055.80","4445.55","5021.35"
"Mon Oct 01 2007 00:00:00 GMT+0530 (India Standard Time)","5021.50","5976.00","5000.95","5900.65"
"Thu Nov 01 2007 00:00:00 GMT+0530 (India Standard Time)","5903.80","6011.95","5394.35","5762.75"
"Mon Dec 03 2007 00:00:00 GMT+0530 (India Standard Time)","5765.45","6185.40","5676.70","6138.60"
"Tue Jan 01 2008 00:00:00 GMT+0530 (India Standard Time)","6136.75","6357.10","4448.50","5137.45"
"Fri Feb 01 2008 00:00:00 GMT+0530 (India Standard Time)","5140.60","5545.20","4803.60","5223.50"
"Mon Mar 03 2008 00:00:00 GMT+0530 (India Standard Time)","5222.80","5222.80","4468.55","4734.50"
"Tue Apr 01 2008 00:00:00 GMT+0530 (India Standard Time)","4735.64","5230.75","4628.75","5165.89"
"Thu May 01 2008 00:00:00 GMT+0530 (India Standard Time)","5265.30","5298.85","4801.89","4870.10"
